,Unnamed: 0,avg_speed
0,0.0,41.26693333333333
1,144.0,41.04176666666665
2,288.0,41.20736666666666
3,432.0,41.16009999999999
4,576.0,41.20323333333332
5,720.0,41.29603333333333
6,864.0,41.26883333333333
7,1008.0,41.451466666666654
8,1152.0,41.26013333333333
9,1296.0,41.236000000000004
10,1440.0,41.26403333333333
11,1584.0,41.218999999999994
12,1728.0,41.204566666666665
13,1872.0,41.24059999999999
14,2016.0,41.172766666666654
15,2160.0,41.22203333333333
16,2304.0,41.18003333333333
17,2448.0,41.4307
18,2592.0,41.24379999999999
19,2736.0,41.28396666666666
20,2880.0,41.17323333333333
21,3024.0,41.21266666666666
22,3168.0,41.208566666666655
23,3312.0,41.21786666666666
24,3456.0,41.29786666666666
25,3600.0,41.41523333333333
26,3744.0,41.242366666666655
27,3888.0,41.259066666666655
28,4032.0,41.2639
29,4176.0,41.1819
30,4320.0,41.36093333333333
145,,40.90999999999999
289,,41.055699999999995
433,,41.03356666666666
577,,41.01089999999999
721,,41.05953333333333
865,,40.9845
1009,,41.083366666666656
1153,,41.09633333333333
1297,,41.05716666666665
1441,,41.05729999999999
1585,,40.99396666666666
1729,,40.999333333333325
1873,,41.15913333333333
2017,,40.94593333333332
2161,,40.99773333333333
2305,,40.98663333333332
2449,,41.51053333333333
2593,,41.03733333333333
2737,,41.05866666666666
2881,,41.13746666666666
3025,,41.00129999999999
3169,,41.052833333333325
3313,,41.159033333333326
3457,,41.115399999999994
3601,,41.06499999999999
3745,,41.10546666666666
3889,,41.016233333333325
4033,,41.00789999999999
4177,,41.03476666666666
4321,,41.416199999999996
